Name		Loss			Acc

# ((CBAD*2)M)*2+F*1 (filter_len=30, filter_num=10, k=1)

SimpleModel_v1.h5	0.24562084542380438	0.8641975316000573
SimpleModel_v2.h5	0.09765798971976763	0.8518518522933677
SimpleModel_v3.h5	0.0790295676500709		0.911111111699799
SimpleModel_v4.h5	0.06649790450378701	0.9604938271604938
SimpleModel_v5.h5	0.09924007389280531	0.859259260142291
SimpleModel_v6.h5	0.08255763867019135	0.8518518522933677
SimpleModel_v7.h5	0.06914453793455053	0.928395062169911
SimpleModel_v8.h5	0.0787213741813177		0.9234567902706288

# ((CBAD*2)M)*2+F*1 (filter_len=30, filter_num=5, k=2)

SimpleModel_v2.h5	0.11100360607659375	0.8888888896247487
SimpleModel_v3.h5	0.04464872744348314	0.9530864199002583
SimpleModel_v4.h5	0.09932357838124405	0.893827160788171
SimpleModel_v5.h5	0.08353065141925105	0.9209876544681597
SimpleModel_v6.h5	0.07086932337210503	0.8567901237511341
SimpleModel_v7.h5	0.07140709862664894	0.9234567902706288

# ((CBAD*2)M)*2+F*1 (filter_len=30, filter_num=7, k=1)

SimpleModel_v2.h5	0.08085299231755881	0.8592592598479472
SimpleModel_v3.h5	0.0733701796811304		0.9333333333333333
SimpleModel_v4.h5	0.0836749858694312		0.8617283955032443
SimpleModel_v5.h5	0.06965421469491205	0.8666666669610106
SimpleModel_v6.h5	0.07282322488817168	0.8864197533807637
SimpleModel_v7.h5	0.08460904946665705	0.8790123458261843

# ((CBAD*2)M)*2+F*1 (filter_len=30, filter_num=5, k=1)

SimpleModel_v2.h5	0.10958988057610429	0.8666666671081825
SimpleModel_v3.h5	0.0810596658491794		0.9629629629629629
SimpleModel_v4.h5	0.09423848966389527	0.856790123898306
SimpleModel_v5.h5	0.09915414206039759	0.893827160788171
SimpleModel_v6.h5	0.07455829586143847	0.8691358029106517
SimpleModel_v7.h5	0.09292101801177602	0.8814814820701693
